"source","report","date range","dimension","item","clicks","impressions","CTR","average position","users","sessions","engagement metric","indexing status","AdSense status","interpretation","confidence","resulting decision"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-sdxl-prompting-guide","52","5482","0,9%","7,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-13-best-stable-diffusion-extensions","45","17283","0,3%","6,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide","42","133750","0%","7,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-22-master-leonardo-ai-negative-prompts","36","47414","0,1%","6,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/youtube-thumbnails","32","923","3,5%","7,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-09-master-leonardo-ai-models","28","33592","0,1%","7,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-28-dall-e-3-photorealism-prompt-guide","23","15783","0,1%","5,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-03-master-surreal-ai-art-prompts","22","4485","0,5%","6,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-06-master-consistent-characters-leonardo-ai","17","38656","0%","7,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-25-ai-prompt-weighting-guide","10","6646","0,2%","8,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-stable-diffusion-negative-prompts-guide","9","40188","0%","6,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/image-to-prompt","9","354","2,5%","24,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-01-master-ink-sketch-ai-art-prompts-pen-ink","8","251","3,2%","7,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-21-dalle-3-negative-prompts-guide","7","34778","0%","6,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/anime","7","246","2,8%","11,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-21-ai-prompt-templates-reusable-blueprints","6","588","1%","9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-15-master-ukiyo-e-ai-art-prompts-styles","6","406","1,5%","8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/pixel-art","5","292","1,7%","10,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-31-master-stable-diffusion-samplers","4","1672","0,2%","10,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-06-stable-diffusion-low-vram-guide-optimize-performance","4","451","0,9%","8,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-09-dall-e-3-infographics-data-visualization-guide","4","432","0,9%","7,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/cookies","4","167","2,4%","12,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/architecture","4","148","2,7%","9,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/logos","4","91","4,4%","9,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-02-master-miniature-macro-ai-art-prompts","4","65","6,2%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-09-master-stained-glass-ai-art-prompts","3","2014","0,1%","5,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-28-master-fantasy-ai-art-prompts","3","1744","0,2%","5,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-07-master-ai-art-camera-angles-cinematic-prompts-composition","3","1155","0,3%","9,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/product-photography","3","223","1,3%","10,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generators","3","152","2%","9,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-24-master-ai-fashion-clothing-prompts","3","136","2,2%","7,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-03-master-dynamic-action-prompts-ai-art","2","2745","0,1%","4,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-19-leonardo-ai-merchandise-design-guide","2","1367","0,1%","10,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-17-master-volumetric-lighting-ai-art","2","1003","0,2%","6,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-29-master-stable-diffusion-model-merging-custom-checkpoints","2","821","0,2%","8,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-03-26-train-custom-loras-stable-diffusion","2","768","0,3%","14,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-03-stable-diffusion-prompt-syntax-guide","2","764","0,3%","8,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-15-ai-photorealism-comparison-midjourney-stable-diffusion-dall-e3-leonardo","2","670","0,3%","12,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-05-ai-animation-video-prompts-guide","2","638","0,3%","9,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-13-master-ai-hair-prompts-styles-textures-dynamics","2","463","0,4%","7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-31-master-leonardo-ai-loras-guide","2","387","0,5%","11,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-04-ai-art-prompt-thesaurus-best-words","2","116","1,7%","10","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/cinematic-portraits","2","91","2,2%","11,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-01-master-studio-ghibli-ai-art-prompts","2","16","12,5%","8,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide#essential-negative-prompt-templates","1","25479","0%","5,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-10-leonardo-ai-game-art-assets","1","1997","0,1%","8,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-01-ai-art-composition-guide","1","1699","0,1%","6,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-13-master-midjourney-niji-mode-anime-manga-art-guide","1","1360","0,1%","6,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-23-master-art-nouveau-ai-art","1","623","0,2%","5,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-19-master-automatic1111-stable-diffusion-web-ui-guide","1","591","0,2%","9,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-05-master-ai-art-settings-quality-detail","1","477","0,2%","11,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-17-master-midjourney-remix-mode","1","418","0,2%","8,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-25-ai-art-lighting-comparison-midjourney-sd-dalle3-leonardo","1","398","0,3%","12,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-03-abstract-ai-art-generator-comparison","1","305","0,3%","19,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-25-ai-prompt-building-beginners-guide","1","251","0,4%","6,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-31-master-midjourney-chaos-weird","1","228","0,4%","9,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-28-run-ai-art-locally-guide-offline-generation","1","189","0,5%","11,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/about","1","185","0,5%","7,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-21-ai-comics-storyboards-sequential-art-guide","1","179","0,6%","11,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-17-master-ai-art-game-development-assets-concepts-worlds","1","143","0,7%","12,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-13-leonardo-ai-product-mockups-design-visualization","1","93","1,1%","9,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-13-generate-isometric-ai-art-prompts-styles","1","85","1,2%","17,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/fashion-editorial","1","80","1,3%","12,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-26-master-dreambooth-stable-diffusion-custom-models","1","70","1,4%","21,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-03-midjourney-focal-points-visual-hierarchy","1","69","1,4%","10","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-09-master-dall-e-3-diagrams-schematics","1","66","1,5%","9,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-23-master-street-art-ai-prompts","1","51","2%","8,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/fantasy-scenes","1","27","3,7%","15,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-10-master-tattoo-style-ai-art-prompts","1","14","7,1%","10,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-11-master-paper-cutout-ai-art-prompts-techniques","1","7","14,3%","4,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide#why-negative-prompts-are-your-best-friend","0","24603","0%","5,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide#what-are-negative-prompts-really-","0","15922","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-22-master-leonardo-ai-negative-prompts#the-power-of-negative-prompts-in-leonardo-ai","0","6473","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide#a-guide-to-fixing-bad-hands-ugly-faces-and-more","0","5642","0%","6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-22-master-leonardo-ai-negative-prompts#understanding-leonardo-ais-negative-prompt-system","0","4716","0%","6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-05-dall-e-3-text-generation-guide","0","2802","0%","6,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#the-anatomy-of-a-basic-v6-prompt","0","2336","0%","4,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#whats-new-with-midjourney-v6-","0","2285","0%","4,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-22-master-leonardo-ai-negative-prompts#essential-negative-prompts-to-fix-common-ai-art-issues","0","2087","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-guide-consistent-characters-ai-art","0","1680","0%","13,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-19-sell-ai-art-monetization-guide","0","1554","0%","11","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-15-fixing-ai-art-troubleshooting-distortions-artifacts","0","1424","0%","6,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-05-master-midjourney-raw-mode-unstylized-ai-art","0","1123","0%","8,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide#category-specific-negative-prompts-","0","1079","0%","4,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-01-ai-art-speed-hacks-optimize-prompts","0","895","0%","5,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-29-master-dall-e-3-in-app-editing","0","520","0%","7,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-01-dalle-3-prompting-tips-secrets","0","512","0%","8,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-27-master-layered-ai-art-prompts","0","451","0%","6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/tools","0","371","0%","17,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#advanced-techniques-and-parameters","0","306","0%","2,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-15-master-ai-art-resolution-aspect-ratio-beginner","0","281","0%","9,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-03-29-ai-art-rendering-prompts-professional-quality","0","270","0%","10,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-08-master-ai-art-credits-optimize-usage","0","198","0%","6,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
